=== Start getting CPU & RAM metric ===
[2025-11-24 18:17:06] Load average is: 1 min: 2.63, 5 min: 1.95, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:07] Load average is: 1 min: 2.63, 5 min: 1.95, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:09] Load average is: 1 min: 2.50, 5 min: 1.93, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:10] Load average is: 1 min: 2.50, 5 min: 1.93, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:11] Load average is: 1 min: 2.50, 5 min: 1.93, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:12] Load average is: 1 min: 2.50, 5 min: 1.93, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:13] Load average is: 1 min: 2.50, 5 min: 1.93, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:14] Load average is: 1 min: 2.38, 5 min: 1.92, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:15] Load average is: 1 min: 2.38, 5 min: 1.92, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:16] Load average is: 1 min: 2.38, 5 min: 1.92, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:17] Load average is: 1 min: 2.38, 5 min: 1.92, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:18] Load average is: 1 min: 2.38, 5 min: 1.92, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:19] Load average is: 1 min: 2.35, 5 min: 1.92, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:20] Load average is: 1 min: 2.35, 5 min: 1.92, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:21] Load average is: 1 min: 2.35, 5 min: 1.92, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:22] Load average is: 1 min: 2.35, 5 min: 1.92, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:23] Load average is: 1 min: 2.35, 5 min: 1.92, 15 min: 1.69 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:24] Load average is: 1 min: 2.16, 5 min: 1.88, 15 min: 1.68 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:25] Load average is: 1 min: 2.16, 5 min: 1.88, 15 min: 1.68 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:26] Load average is: 1 min: 2.16, 5 min: 1.88, 15 min: 1.68 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:27] Load average is: 1 min: 2.16, 5 min: 1.88, 15 min: 1.68 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:28] Load average is: 1 min: 2.16, 5 min: 1.88, 15 min: 1.68 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:29] Load average is: 1 min: 2.15, 5 min: 1.89, 15 min: 1.68 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:30] Load average is: 1 min: 2.15, 5 min: 1.89, 15 min: 1.68 | RAM: 16/9GB (6GB free)
[2025-11-24 18:17:31] Load average is: 1 min: 2.15, 5 min: 1.89, 15 min: 1.68 | RAM: 16/9GB (6GB free)

=== END ===
=== Start getting CPU & RAM metric ===
[2025-11-24 18:25:53] Load average is: 1 min: 1.69, 5 min: 1.66, 15 min: 1.60 | RAM: 16/9GB (6GB free)
[2025-11-24 18:25:54] Load average is: 1 min: 1.63, 5 min: 1.65, 15 min: 1.60 | RAM: 16/9GB (6GB free)
[2025-11-24 18:25:55] Load average is: 1 min: 1.63, 5 min: 1.65, 15 min: 1.60 | RAM: 16/9GB (6GB free)
[2025-11-24 18:25:56] Load average is: 1 min: 1.63, 5 min: 1.65, 15 min: 1.60 | RAM: 16/9GB (6GB free)
[2025-11-24 18:25:57] Load average is: 1 min: 1.63, 5 min: 1.65, 15 min: 1.60 | RAM: 16/9GB (6GB free)
[2025-11-24 18:25:58] Load average is: 1 min: 1.63, 5 min: 1.65, 15 min: 1.60 | RAM: 16/9GB (6GB free)
[2025-11-24 18:25:59] Load average is: 1 min: 1.66, 5 min: 1.65, 15 min: 1.60 | RAM: 16/9GB (6GB free)
[2025-11-24 18:26:00] Load average is: 1 min: 1.66, 5 min: 1.65, 15 min: 1.60 | RAM: 16/9GB (6GB free)
=== Start getting CPU & RAM metric ===
[2025-11-24 18:32:06] Load average is: 1 min: 1.99, 5 min: 1.57, 15 min: 1.55 | RAM: 16/9GB (6GB free)
[2025-11-24 18:32:07] Load average is: 1 min: 1.91, 5 min: 1.56, 15 min: 1.55 | RAM: 16/9GB (6GB free)
[2025-11-24 18:32:08] Load average is: 1 min: 1.91, 5 min: 1.56, 15 min: 1.55 | RAM: 16/9GB (6GB free)
[2025-11-24 18:32:09] Load average is: 1 min: 1.91, 5 min: 1.56, 15 min: 1.55 | RAM: 16/9GB (6GB free)
[2025-11-24 18:32:10] Load average is: 1 min: 1.91, 5 min: 1.56, 15 min: 1.55 | RAM: 16/9GB (6GB free)
[2025-11-24 18:32:11] Load average is: 1 min: 1.91, 5 min: 1.56, 15 min: 1.55 | RAM: 16/9GB (6GB free)
[2025-11-24 18:32:12] Load average is: 1 min: 1.84, 5 min: 1.56, 15 min: 1.54 | RAM: 16/9GB (6GB free)
[2025-11-24 18:32:13] Load average is: 1 min: 1.84, 5 min: 1.56, 15 min: 1.54 | RAM: 16/9GB (6GB free)
=== Start getting CPU & RAM metric ===
[2025-11-24 18:33:31] Load average is: 1 min: 1.70, 5 min: 1.59, 15 min: 1.56 | RAM: 16/9GB (6GB free)
[2025-11-24 18:33:32] Load average is: 1 min: 1.70, 5 min: 1.59, 15 min: 1.56 | RAM: 16/9GB (6GB free)
[2025-11-24 18:33:33] Load average is: 1 min: 1.73, 5 min: 1.59, 15 min: 1.56 | RAM: 16/9GB (6GB free)
[2025-11-24 18:33:34] Load average is: 1 min: 1.73, 5 min: 1.59, 15 min: 1.56 | RAM: 16/9GB (6GB free)
[2025-11-24 18:33:35] Load average is: 1 min: 1.73, 5 min: 1.59, 15 min: 1.56 | RAM: 16/9GB (6GB free)
[2025-11-24 18:33:36] Load average is: 1 min: 1.73, 5 min: 1.59, 15 min: 1.56 | RAM: 16/9GB (6GB free)
[2025-11-24 18:33:37] Load average is: 1 min: 1.73, 5 min: 1.59, 15 min: 1.56 | RAM: 16/9GB (6GB free)
[2025-11-24 18:33:38] Load average is: 1 min: 1.73, 5 min: 1.59, 15 min: 1.56 | RAM: 16/9GB (6GB free)
[2025-11-24 18:33:39] Load average is: 1 min: 1.67, 5 min: 1.58, 15 min: 1.56 | RAM: 16/9GB (6GB free)
=== Start getting CPU & RAM metric ===
[2025-11-24 18:52:35] Load average is: 1 min: 1.18, 5 min: 1.43, 15 min: 1.47 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:36] Load average is: 1 min: 1.18, 5 min: 1.43, 15 min: 1.47 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:37] Load average is: 1 min: 1.17, 5 min: 1.42, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:38] Load average is: 1 min: 1.17, 5 min: 1.42, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:39] Load average is: 1 min: 1.17, 5 min: 1.42, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:40] Load average is: 1 min: 1.17, 5 min: 1.42, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:41] Load average is: 1 min: 1.17, 5 min: 1.42, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:42] Load average is: 1 min: 1.16, 5 min: 1.41, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:43] Load average is: 1 min: 1.16, 5 min: 1.41, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:44] Load average is: 1 min: 1.16, 5 min: 1.41, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:45] Load average is: 1 min: 1.16, 5 min: 1.41, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:46] Load average is: 1 min: 1.16, 5 min: 1.41, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:47] Load average is: 1 min: 1.14, 5 min: 1.40, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:48] Load average is: 1 min: 1.14, 5 min: 1.40, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:49] Load average is: 1 min: 1.14, 5 min: 1.40, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:50] Load average is: 1 min: 1.14, 5 min: 1.40, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:51] Load average is: 1 min: 1.14, 5 min: 1.40, 15 min: 1.46 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:52] Load average is: 1 min: 1.05, 5 min: 1.38, 15 min: 1.45 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:53] Load average is: 1 min: 1.05, 5 min: 1.38, 15 min: 1.45 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:54] Load average is: 1 min: 1.05, 5 min: 1.38, 15 min: 1.45 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:55] Load average is: 1 min: 1.05, 5 min: 1.38, 15 min: 1.45 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:56] Load average is: 1 min: 1.05, 5 min: 1.38, 15 min: 1.45 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:57] Load average is: 1 min: 1.05, 5 min: 1.38, 15 min: 1.45 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:58] Load average is: 1 min: 1.05, 5 min: 1.38, 15 min: 1.45 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425
[2025-11-24 18:52:59] Load average is: 1 min: 1.05, 5 min: 1.38, 15 min: 1.45 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1640425, Recive byte: 1640425

=== END ===
=== Start getting CPU & RAM metric ===
[2025-11-24 18:53:48] Load average is: 1 min: 1.15, 5 min: 1.36, 15 min: 1.43 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:53:49] Load average is: 1 min: 1.15, 5 min: 1.36, 15 min: 1.43 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:53:50] Load average is: 1 min: 1.15, 5 min: 1.36, 15 min: 1.43 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:53:51] Load average is: 1 min: 1.15, 5 min: 1.36, 15 min: 1.43 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:53:52] Load average is: 1 min: 1.22, 5 min: 1.37, 15 min: 1.44 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:53:53] Load average is: 1 min: 1.22, 5 min: 1.37, 15 min: 1.44 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:53:54] Load average is: 1 min: 1.22, 5 min: 1.37, 15 min: 1.44 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:53:55] Load average is: 1 min: 1.22, 5 min: 1.37, 15 min: 1.44 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:53:56] Load average is: 1 min: 1.22, 5 min: 1.37, 15 min: 1.44 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:53:57] Load average is: 1 min: 1.28, 5 min: 1.38, 15 min: 1.44 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:53:58] Load average is: 1 min: 1.28, 5 min: 1.38, 15 min: 1.44 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
[2025-11-24 18:53:59] Load average is: 1 min: 1.28, 5 min: 1.38, 15 min: 1.44 | RAM: 16/9GB (6GB free) | Net interface name: en0, Send byte: 1644597, Recive byte: 1644597
